name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season
Erling Haaland,Man City,272,FWD,36,9,13,5,0,26,0,0,0,0,40,115,5,1350,1360,1340,1340,1360,1380,2022-23
Harry Kane,Spurs,263,FWD,30,9,11,6,0,62,0,1,0,0,48,115,3,1155,1220,1140,1210,1170,1230,2022-23
Mohamed Salah,Liverpool,239,MID,19,13,13,2,0,45,0,2,0,0,23,130,4,1220,1275,1180,1250,1260,1300,2022-23
Martin Ødegaard,Arsenal,212,MID,15,8,13,4,0,38,0,0,0,0,30,65,4,1245,1285,1250,1250,1240,1320,2022-23
Marcus Rashford,Man Utd,205,MID,17,7,13,2,0,39,0,0,0,0,21,65,3,1155,1220,1140,1220,1165,1220,2022-23
Bukayo Saka,Arsenal,202,MID,14,12,12,6,0,42,0,1,0,0,19,80,4,1245,1285,1250,1250,1240,1320,2022-23
Kieran Trippier,Newcastle,198,DEF,1,9,16,5,0,31,1,0,0,0,39,50,4,1210,1260,1250,1300,1165,1220,2022-23
Gabriel Martinelli Silva,Arsenal,198,MID,15,9,14,3,0,33,0,0,0,0,18,60,4,1245,1285,1250,1250,1240,1320,2022-23
Kevin De Bruyne,Man City,183,MID,7,18,10,1,0,23,0,0,0,0,26,120,5,1350,1360,1340,1340,1360,1380,2022-23
Ivan Toney,Brentford,182,FWD,20,4,10,9,0,42,0,1,0,0,35,70,3,1115,1180,1100,1160,1130,1200,2022-23
Bruno Borges Fernandes,Man Utd,176,MID,8,9,18,6,0,39,0,0,0,0,23,100,3,1155,1220,1140,1220,1165,1220,2022-23
Ollie Watkins,Aston Villa,175,FWD,15,8,13,4,0,40,0,1,0,0,25,75,3,1070,1100,1070,1075,1070,1130,2022-23
David Raya Martin,Brentford,166,GK,0,0,12,1,0,46,1,0,0,154,20,45,3,1115,1180,1100,1160,1130,1200,2022-23
Alisson Ramses Becker,Liverpool,162,GK,0,1,14,1,0,43,0,0,1,107,15,55,4,1220,1275,1180,1250,1260,1300,2022-23
David De Gea Quintana,Man Utd,161,GK,0,0,17,0,0,43,0,0,1,101,5,50,3,1155,1220,1140,1220,1165,1220,2022-23
Eberechi Eze,Crystal Palace,159,MID,10,5,9,3,0,35,0,0,0,0,21,55,3,1085,1100,1110,1110,1060,1090,2022-23
Pascal Groß,Brighton,159,MID,9,8,11,7,0,51,1,0,0,0,14,55,3,1170,1175,1140,1150,1200,1200,2022-23
Miguel Almirón Rejala,Newcastle,158,MID,11,4,15,2,0,22,0,0,0,0,15,50,4,1210,1260,1250,1300,1165,1220,2022-23
Callum Wilson,Newcastle,157,FWD,18,6,10,4,0,16,0,0,0,0,20,75,4,1210,1260,1250,1300,1165,1220,2022-23
Nick Pope,Newcastle,157,GK,0,0,14,3,1,32,0,0,2,87,14,50,4,1210,1260,1250,1300,1165,1220,2022-23
Benjamin White,Arsenal,156,DEF,2,5,15,5,0,35,0,0,0,0,12,45,4,1245,1285,1250,1250,1240,1320,2022-23
Trent Alexander-Arnold,Liverpool,156,DEF,2,11,10,5,0,44,0,0,0,0,21,75,4,1220,1275,1180,1250,1260,1300,2022-23
